Date;Price
44561,00;46219.5
44560,00;47123.3
44559,00;46461.7
44558,00;47545.2
44557,00;50678.2
44556,00;50779.9
44555,00;50406.4
44554,00;50786.1
44553,00;50801.0
44552,00;48599.7
44551,00;48902.0
44550,00;46895.2
44549,00;46704.5
44548,00;46856.2
44547,00;46172.2
44546,00;47628.2
44545,00;48871.5
44544,00;48366.5
44543,00;46703.6
44542,00;50081.0
44541,00;49314.5
44540,00;47137.2
44539,00;47596.6
44538,00;50473.9
44537,00;50595.2
44536,00;50562.1
44535,00;49405.5
44534,00;49195.2
44533,00;53631.5
44532,00;56496.0
44531,00;57210.3
44530,00;56882.9
44529,00;57794.8
44528,00;57291.5
44527,00;54765.9
44526,00;53730.9
44525,00;58935.1
44524,00;57171.7
44523,00;57573.2
44522,00;56308.8
44521,00;58714.3
44520,00;59717.6
44519,00;58083.4
44518,00;56955.3
44517,00;60367.8
44516,00;60089.1
44515,00;63597.9
44514,00;65508.2
44513,00;64398.6
44512,00;64134.5
44511,00;64806.7
44510,00;64932.6
44509,00;66904.4
44508,00;67527.9
44507,00;63273.2
44506,00;61483.9
44505,00;60974.3
44504,00;61412.6
44503,00;62918.5
44502,00;63221.7
44501,00;60915.3
44500,00;61309.6
44499,00;61840.1
44498,00;62242.8
44497,00;60582.5
44496,00;58438.1
44495,00;60310.8
44494,00;63067.0
44493,00;60866.5
44492,00;61312.5
44491,00;60690.3
44490,00;62210.2
44489,00;65979.1
44488,00;64278.5
44487,00;62056.3
44486,00;61527.5
44485,00;60861.1
44484,00;61672.5
44483,00;57345.8
44482,00;57380.1
44481,00;56015.9
44480,00;57477.3
44479,00;54687.7
44478,00;54942.5
44477,00;53914.7
44476,00;53783.9
44475,00;55323.2
44474,00;51469.3
44473,00;49227.3
44472,00;48200.1
44471,00;47666.9
44470,00;48146.0
44469,00;43823.3
44468,00;41536.8
44467,00;41022.3
44466,00;42172.6
44465,00;43203.4
44464,00;42686.8
44463,00;42819.9
44462,00;44869.2
44461,00;43551.6
44460,00;40651.3
44459,00;42870.6
44458,00;47238.7
44457,00;48306.7
44456,00;47282.8
44455,00;47748.0
44454,00;48130.6
44453,00;47077.5
44452,00;44949.5
44451,00;46062.3
44450,00;45161.9
44449,00;44842.8
44448,00;46385.6
44447,00;46061.4
44446,00;46779.6
44445,00;52672.1
44444,00;51768.6
44443,00;49918.4
44442,00;49999.0
44441,00;49274.3
44440,00;48819.4
44439,00;47130.4
44438,00;46992.7
44437,00;48777.4
44436,00;48897.1
44435,00;49064.3
44434,00;46831.6
44433,00;48994.5
44432,00;47714.7
44431,00;49539.7
44430,00;49254.5
44429,00;48875.8
44428,00;49324.0
44427,00;46755.9
44426,00;44723.8
44425,00;44691.6
44424,00;45996.3
44423,00;46991.3
44422,00;47081.5
44421,00;47809.1
44420,00;44403.4
44419,00;45564.3
44418,00;45593.8
44417,00;46284.3
44416,00;43792.8
44415,00;44614.2
44414,00;42795.4
44413,00;40867.2
44412,00;39736.9
44411,00;38130.3
44410,00;39168.4
44409,00;39878.3
44408,00;41553.7
44407,00;42203.4
44406,00;40001.4
44405,00;40003.2
44404,00;39452.0
44403,00;37276.6
44402,00;35391.1
44401,00;33824.8
44400,00;33603.3
44399,00;32298.9
44398,00;32131.4
44397,00;29793.8
44396,00;30837.2
44395,00;31785.4
44394,00;31518.6
44393,00;31394.0
44392,00;31840.5
44391,00;32820.7
44390,00;32728.1
44389,00;33113.0
44388,00;34227.7
44387,00;33510.6
44386,00;33797.4
44385,00;32866.3
44384,00;33867.8
44383,00;34225.6
44382,00;33687.8
44381,00;35298.2
44380,00;34742.8
44379,00;33813.4
44378,00;33543.6
44377,00;35026.9
44376,00;35834.7
44375,00;34475.9
44374,00;34678.5
44373,00;32243.4
44372,00;31594.0
44371,00;34665.8
44370,00;33674.3
44369,00;32496.4
44368,00;31692.0
44367,00;35595.8
44366,00;35513.4
44365,00;35749.4
44364,00;38052.0
44363,00;38336.0
44362,00;40156.1
44361,00;40529.4
44360,00;39022.9
44359,00;35467.5
44358,00;37314.6
44357,00;36649.4
44356,00;37332.2
44355,00;33382.9
44354,00;33578.0
44353,00;35815.4
44352,00;35520.0
44351,00;36851.3
44350,00;39187.3
44349,00;37555.8
44348,00;36687.6
44347,00;37298.6
44346,00;35652.8
44345,00;34584.6
44344,00;35662.5
44343,00;38417.3
44342,00;39249.2
44341,00;38378.3
44340,00;38750.6
44339,00;34679.7
44338,00;37448.3
44337,00;37297.4
44336,00;40717.2
44335,00;36720.5
44334,00;42897.3
44333,00;43541.3
44332,00;46426.4
44331,00;46708.8
44330,00;49839.8
44329,00;49704.6
44328,00;49384.2
44327,00;56695.7
44326,00;55848.9
44325,00;58238.3
44324,00;58840.1
44323,00;57337.2
44322,00;56405.4
44321,00;57441.3
44320,00;53741.5
44319,00;57169.8
44318,00;56603.8
44317,00;57807.1
44316,00;57720.3
44315,00;53560.8
44314,00;54841.4
44313,00;55036.5
44312,00;54020.5
44311,00;48963.6
44310,00;50088.9
44309,00;51143.6
44308,00;51729.5
44307,00;53820.2
44306,00;56483.2
44305,00;55646.1
44304,00;56207.1
44303,00;60041.9
44302,00;61379.7
44301,00;63216.0
44300,00;62980.4
44299,00;63540.9
44298,00;59863.8
44297,00;59978.7
44296,00;59748.4
44295,00;58118.7
44294,00;58077.4
44293,00;55948.7
44292,00;57996.3
44291,00;58993.4
44290,00;58199.9
44289,00;57059.9
44288,00;58977.3
44287,00;58718.3
44286,00;58763.7
44285,00;58771.3
44284,00;57616.2
44283,00;55765.2
44282,00;55862.9
44281,00;55036.1
